"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 16:00:31 UTC 2022","Thu Sep 01 16:00:39 UTC 2022","7976","chromium","redmine.spec.js","Redmine tests","","","Acivities, issues and download",""
"passed","Thu Sep 01 16:00:15 UTC 2022","Thu Sep 01 16:00:31 UTC 2022","15662","chromium","redmine.spec.js","Redmine tests","","","Register, login and account delete",""
"passed","Thu Sep 01 16:00:39 UTC 2022","Thu Sep 01 16:00:44 UTC 2022","4873","chromium","redmine.spec.js","Redmine tests","","","Search, searching parameters and links to other sites",""
"passed","Thu Sep 01 16:00:54 UTC 2022","Thu Sep 01 16:00:58 UTC 2022","4162","chromium","redmine.spec.js","Redmine tests","","","Guide and localization",""
"passed","Thu Sep 01 16:00:44 UTC 2022","Thu Sep 01 16:00:54 UTC 2022","10403","chromium","redmine.spec.js","Redmine tests","","","Roadmap,versions and issues",""
